movieName;Metascore_w;Author;AuthorHref;Date;Summary;InteractionsYesCount;InteractionsTotalCount;InteractionsThumbUp;InteractionsThumbDown;relative_increase;absolute_increase
all-the-kings-men;10;PJ;;Oct  1, 2006;[];0.0;0.0;;;inf;10
2046;10;PJ;;Dec 30, 2005;[];0.0;0.0;;;inf;10
wall-e;10;BrianL;;Jul 14, 2008;"[ ""Just because it is rated G does not mean that it is for children. There is just no violence, suggestive themes, or anything of that matter. Just a brilliant, clean movie. I am a 17 year old guy and this movie still wrenched my heart till the very end. The animation is the best there is so far, and while the the love part of the plot was a tad cheesy...it was necessary and great. The movie is so convincing that earth will become of what is portrayed that it scared me the night after I watched it, thinking \""this is might actually happen in 750 years.\"" Doubt any other movie will top this in 2008."" ]";0.0;0.0;;;inf;10
district-9;10;BrianL;;Aug 16, 2009;[];0.0;0.0;;;inf;10
greenberg;9;MitchS.;;Mar 27, 2010;[];1.0;3.0;;;inf;9
once;9;PJ;;Jan 12, 2008;[];0.0;0.0;;;inf;9
rambo;9;PJ;;Jan 25, 2008;[];0.0;0.0;;;inf;9
the-road;9;BrianL;;Nov 30, 2009;"[ ""I absolutely loved this book. John Hillcoat did a fantastic job of bringing Cormac McCarthy's work to life. It's bleak and haunting, but brings out that ultimate human spirit of survival which was so moving in the novel. I can't figure out why there are so many mixed reviews and why the Weinsteins sandbagged this film with absolutely no marketing whatsoever. A tough story and yet a great piece of filmmaking."" ]";0.0;0.0;;;inf;9
paul-blart-mall-cop;8;BrianL;;Jan 24, 2009;"[ ""Sheesh reviewers are harsh. The beginning might seem like it might lead to a meiocre movie, but it iis really fun as it goes on. the downside is that you really won't care about it 2 hours after you see it, but it still is a movie i would recommend."" ]";0.0;0.0;;;inf;8
avatar;6;PJ;;Dec 31, 2009;"[ ""Yes, the CG animation is technically impressive. Too bad the choreography is atypical contemporary Hollywood action movie, with quick cuts that make it impossible to truly absorb yourself in the detailed world of Pandora. You want to see a true visual masterpiece? Watch 2001 or Blade Runner, on Blu-Ray. Avatar has nothing on those two movies, and I wasn't even close to being born when they were released in theaters. Ironic how Cameron's best movie is still the gritty low-budget masterpiece The Terminator, made on a measly 6 mil."" ]";0.0;0.0;;;inf;6
walk-the-line;5;PJ;;Jan 13, 2006;[];0.0;0.0;;;inf;5
chelsea-walls;2;PJ;;Jun 30, 2006;"[ ""I don't understand the series of 10's this film earned in the user ratings. If a film like Citizen Kane represents a generally accepted level of supreme fillmmaking, and therefore worthy of a 10, Chelsea Walls is nowhere near that mark. In addition, the notion that anyone giving this film a poor review, is either not very bright or didn't view the film with an open mind, is rather immature. This film was recommended to me by a friend, with whom I share a similar taste in film. So, I went into this expecting to like the Chelsea Walls...but that's not how it turned out. First off, the grainy digital picture and lifeless camerawork make the visuals an absolute chore to take in. The dim interior and exterior lighting doesn't help matters any. As far as the actual performances go, there were a few actors that turned in intermittently compelling performances. However, the amount of time devoted to most of the characters is brief which doesn't allow for much development. Not only were the individual story arcs quite thin, they also failed to interweave in a manner that added anything of value to the plot line. In general, everything about this film seemed very contrived and amateurish. It plays more like a documentary than an ensemble drama. Had this been a documentary chronicling the lives of actual Chelsea residents, I would've been more receptive, and been able to take the characters seriously. Yet, it's a fictional tale of struggling artists pretentiously portrayed by established actors in somber settings. The most pressing question this film raises, is just what the filmmakers were trying to express about the Chelsea and its residents. Apparently, what was once a grand hotel that housed some of histories greatest American artists, is now nothing more than a run-down haven for aimless deadbeats who's personal problems will prevent them from ever making great art. That seemed to be the sentiment of the two cops in the film, and is what makes them, sadly, the only two characters I could really identify with. If I had to describe this film in one word, that word would be \""bleak.\"""" ]";0.0;0.0;;;inf;2
marley-me;1;MitchS.;;Jan 31, 2009;[];0.0;0.0;;;inf;1
zombieland;1;PJ;;Oct  8, 2009;"[ ""Not scary, not funny. Another geek-love movie that roll out like the all too self-assured romantic comedies of worse years. I'm sure people love this film since there are great actors in it doing the best with a dumb plot. I wanted to leave early. OVER-HYPED."" ]";1.0;2.0;;;inf;1
michael-clayton;1;PJ;;Oct 14, 2007;"[ ""Flat, uninspired direction. Obviously, trying to emulate the character driven films of the 70's, but the less than engaging plot falls short. All stuff we've seen before, including the predictable \""suprise\"" at the end. People were actually walking out before it was over. Stick to screenwriting Mr. Gilroy. No more 1st time directors for you Mr. Clooney."" ]";0.0;0.0;;;inf;1
the-curious-case-of-benjamin-button;10;LewisP.;;Dec 26, 2008;[];0.0;0.0;;;10.0;9
knowing;10;BB;;Mar 28, 2009;"[ ""I don`t what people`s problem. This was one of best sci-fi movie for a long time. Nothing was wrong with script, performance or anything else. You have to critic movies in their category. I was totally satisfied when I left the movie. Good work Nicholas Cage"" ]";0.0;0.0;;;10.0;9
the-hunger-games-mockingjay---part-2;10;csw12;/user/csw12;Nov 21, 2015;"[ ""The Hunger Games Series is the is the best true series since the Lord of the Rings. The first three movies were solid entertaining films, but the best was saved for last. The dark, action packed, an emotional atmosphere create something that will be remembered. The way to make a movie and a series memorable is to save the best scene in the series, as the last."" ]";1.0;5.0;1.0;4.0;10.0;9
inside-out-2015;10;csw12;/user/csw12;Aug 30, 2015;"[ ""Inside Out stands alone in its sheer originality and inventiveness and after Pixar putting out mediocre films, Inside Out is their latest gem. The movie is genius and the imagination behind it is stunning. Pixar always does a great job at balancing their films for kids and adults and Inside Out might be their finest. A spectacular film that is easily the best film of the year so far."" ]";0.0;0.0;0.0;0.0;10.0;9
